,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_penalty,param_solver,param_max_depth,param_min_samples_split,param_n_estimators
73,0,30,0.0009955883026123047,2.870543850573046e-06,0.0001995086669921875,0.000399017333984375,0.001,,,"{'C': 0.001, 'penalty': 'l1', 'random_state': None, 'solver': 'saga'}",0.16666666666666666,0.16666666666666666,0.6,0.6,0.20000000000000004,0.3466666666666666,0.20720360357226736,113,0.34782608695652173,0.43478260869565216,0.4166666666666667,0.375,0.4166666666666667,0.39818840579710146,0.03192520401726187,LogisticRegression,l1,saga,,,
74,0,30,0.0033653736114501952,0.0007805340524130083,0.000599527359008789,0.0004895164978914781,0.001,,,"{'C': 0.001, 'penalty': 'l2', 'random_state': None, 'solver': 'newton-cg'}",0.5,0.16666666666666666,0.6,0.6,0.20000000000000004,0.4133333333333334,0.19160143817599884,107,0.6521739130434783,0.43478260869565216,0.4166666666666667,0.375,0.4166666666666667,0.45905797101449275,0.09853207410904005,LogisticRegression,l2,newton-cg,,,
75,0,30,0.003192567825317383,0.0007459347884257749,0.000797891616821289,0.0003989459900777808,0.001,,,"{'C': 0.001, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs'}",0.5,0.16666666666666666,0.6,0.6,0.20000000000000004,0.4133333333333334,0.19160143817599884,107,0.6521739130434783,0.43478260869565216,0.4166666666666667,0.375,0.4166666666666667,0.45905797101449275,0.09853207410904005,LogisticRegression,l2,lbfgs,,,
76,0,30,0.0006159782409667969,0.0005047585318737808,0.0003987789154052734,0.0004884024372810308,0.001,,,"{'C': 0.001, 'penalty': 'l2', 'random_state': None, 'solver': 'liblinear'}",0.5,0.8333333333333334,0.8000000000000002,0.8000000000000002,1.0,0.7866666666666668,0.16138291249213607,98,0.8260869565217391,0.8695652173913043,0.7916666666666666,0.9166666666666666,0.8333333333333334,0.847463768115942,0.04253814527953382,LogisticRegression,l2,liblinear,,,
77,0,30,0.0008961200714111328,0.000488523976152008,0.0005813121795654296,0.0004756789780958331,0.001,,,"{'C': 0.001, 'penalty': 'l2', 'random_state': None, 'solver': 'sag'}",0.16666666666666666,0.16666666666666666,0.6,0.6,0.20000000000000004,0.3466666666666666,0.20720360357226736,113,0.5652173913043478,0.43478260869565216,0.4166666666666667,0.375,0.4166666666666667,0.4416666666666667,0.06481761528641551,LogisticRegression,l2,sag,,,
78,0,30,0.0009992122650146484,5.106834692188373e-06,0.000399017333984375,0.0004886945264472148,0.001,,,"{'C': 0.001, 'penalty': 'l2', 'random_state': None, 'solver': 'saga'}",0.16666666666666666,0.16666666666666666,0.6,0.6,0.20000000000000004,0.3466666666666666,0.20720360357226736,113,0.5652173913043478,0.43478260869565216,0.4166666666666667,0.375,0.4166666666666667,0.4416666666666667,0.06481761528641551,LogisticRegression,l2,saga,,,
79,0,30,0.0,0.0,0.0,0.0,0.001,,,"{'C': 0.001, 'penalty': 'elasticnet', 'random_state': None, 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogisticRegression,elasticnet,newton-cg,,,
80,0,30,0.0004749774932861328,0.0006147138304809409,0.0,0.0,0.001,,,"{'C': 0.001, 'penalty': 'elasticnet', 'random_state': None, 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogisticRegression,elasticnet,lbfgs,,,
81,0,30,0.0,0.0,0.0,0.0,0.001,,,"{'C': 0.001, 'penalty': 'elasticnet', 'random_state': None, 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogisticRegression,elasticnet,liblinear,,,
82,0,30,0.0,0.0,0.0,0.0,0.001,,,"{'C': 0.001, 'penalty': 'elasticnet', 'random_state': None, 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogisticRegression,elasticnet,sag,,,
